# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
0 9.17405 9.4581 9.09431 27.7265
5 8.98447 9.24074 8.91978 27.145
10 8.4408 8.65442 8.3805 25.4757
15 7.57421 7.73149 7.50927 22.815
20 6.43333 6.52308 6.35764 19.3141
25 5.08067 5.09454 4.99118 15.1664
30 3.5879 3.52053 3.48449 10.5929
35 2.03092 1.8804 1.91615 5.82747
40 0.484885 0.253538 0.364111 1.10253
45 -0.979796 -1.28483 -1.09849 -3.36312
50 -2.30142 -2.6673 -2.40683 -7.37554
55 -3.42994 -3.83815 -3.50765 -10.7757
60 -4.32921 -4.7568 -4.36261 -13.4486
65 -4.97845 -5.39954 -4.94996 -15.328
70 -5.3719 -5.76008 -5.26511 -16.3971
75 -5.51741 -5.84921 -5.32044 -16.6871
80 -5.43514 -5.69291 -5.14308 -16.2711
85 -5.15483 -5.32876 -4.77122 -15.2548
90 -4.71324 -4.8022 -4.25056 -13.766
95 -4.15197 -4.1628 -3.63082 -11.9456
100 -3.51503 -3.46063 -2.96166 -9.93732
105 -2.84615 -2.7433 -2.28938 -7.87882
110 -2.18605 -2.05306 -1.65458 -5.89369
115 -1.56992 -1.42487 -1.09011 -4.0849
120 -1.02568 -0.884978 -0.619873 -2.53053
125 -0.572622 -0.449927 -0.258202 -1.28075
130 -0.220565 -0.126202 -0.00970556 -0.356472
135 0.0299715 0.0888641 0.130355 0.24919
140 0.186292 0.206247 0.175132 0.567671
145 0.261773 0.243611 0.144176 0.649561
150 0.274784 0.223138 0.0615455 0.559467
155 0.247084 0.169161 -0.0461501 0.370095
160 0.201472 0.106417 -0.151876 0.156013
165 0.160032 0.0583507 -0.230049 -0.0116657
170 0.142031 0.0445271 -0.259017 -0.0724595
175 0.162294 0.0787983 -0.22393 0.0171631
180 0.229894 0.168709 -0.117931 0.280673
185 0.347485 0.315172 0.0573808 0.720038
190 0.511753 0.512233 0.2922 1.31619
195 0.713627 0.747638 0.570184 2.03145
200 0.938378 1.00421 0.870361 2.81295
205 1.16717 1.26116 1.16918 3.59751
210 1.37947 1.49602 1.44294 4.31843
215 1.555 1.68674 1.67026 4.91201
220 1.6755 1.81437 1.83329 5.32316
225 1.72587 1.86457 1.91839 5.50883
230 1.69564 1.82861 1.91657 5.44082
235 1.58016 1.70443 1.82398 5.10858
240 1.38065 1.4965 1.64227 4.51942
245 1.10422 1.21522 1.37903 3.69847
250 0.764102 0.876014 1.04748 2.6876
255 0.3791 0.498256 0.665413 1.54277
260 -0.0277728 0.104237 0.254394 0.330858
265 -0.431349 -0.282345 -0.162001 -0.875696
270 -0.806587 -0.638074 -0.560136 -2.0048
275 -1.13105 -0.941607 -0.91793 -2.99059
280 -1.38669 -1.17542 -1.21578 -3.77788
285 -1.56104 -1.32687 -1.43821 -4.32612
290 -1.64739 -1.38949 -1.57476 -4.61164
295 -1.64429 -1.36355 -1.62061 -4.62845
300 -1.55478 -1.25586 -1.57723 -4.38787
305 -1.38656 -1.07858 -1.45203 -3.91716
310 -1.152 -0.848056 -1.25734 -3.25739
315 -0.867268 -0.583439 -1.0094 -2.46011
320 -0.551417 -0.305013 -0.727167 -1.5836
325 -0.225042 -0.0328093 -0.43086 -0.688711
330 0.0913042 0.215022 -0.140464 0.165862
335 0.378408 0.423039 0.125995 0.927443
340 0.619476 0.579187 0.353432 1.5521
345 0.80122 0.675516 0.530193 2.00693
350 0.914161 0.70867 0.647932 2.27076
355 0.953481 0.679603 0.702003 2.33509
360 0.919786 0.593438 0.692022 2.20525
365 0.818829 0.45899 0.621795 1.89961
370 0.660476 0.287714 0.49938 1.44757
375 0.457753 0.0927004 0.336799 0.887252
380 0.226277 -0.112157 0.149098 0.263219
385 -0.0162559 -0.312855 -0.046905 -0.376016
390 -0.251256 -0.495273 -0.234211 -0.980739
395 -0.460751 -0.646087 -0.397518 -1.50436
400 -0.629301 -0.753584 -0.524128 -1.90701
405 -0.745936 -0.808929 -0.60459 -2.15945
410 -0.804548 -0.807099 -0.633346 -2.24499
415 -0.803696 -0.74796 -0.608848 -2.1605
420 -0.746176 -0.636384 -0.533288 -1.91585
425 -0.638496 -0.481519 -0.412166 -1.53218
430 -0.489958 -0.295403 -0.253967 -1.03933
435 -0.31204 -0.0918995 -0.0695552 -0.473495
440 -0.117816 0.114534 0.128661 0.125379
445 0.0784462 0.309747 0.327381 0.715574
450 0.261708 0.480838 0.513472 1.25602
455 0.418337 0.617817 0.675269 1.71142
460 0.538425 0.714035 0.802876 2.05534
465 0.615988 0.766097 0.888088 2.27017
470 0.648366 0.773481 0.924955 2.3468
475 0.636174 0.73832 0.910885 2.28538
480 0.5832 0.665525 0.84687 2.0956
485 0.495845 0.562645 0.737807 1.7963
490 0.382675 0.438732 0.592222 1.41363
495 0.253521 0.303288 0.421384 0.978193
500 0.118686 0.165709 0.238048 0.522443
505 -0.0119066 0.0347691 0.054503 0.0773655
510 -0.129031 -0.0818549 -0.118829 -0.329715
515 -0.224276 -0.177723 -0.273604 -0.675603
520 -0.290562 -0.248011 -0.403457 -0.94203
525 -0.322767 -0.290156 -0.504007 -1.11693
530 -0.318295 -0.304221 -0.572871 -1.19539
535 -0.277792 -0.293007 -0.60929 -1.18009
540 -0.204956 -0.261211 -0.61373 -1.0799
545 -0.106441 -0.214322 -0.588277 -0.909041
550 0.00836544 -0.158277 -0.536826 -0.686738
555 0.128183 -0.0998038 -0.464822 -0.436443
560 0.24088 -0.0454407 -0.378916 -0.183477
565 0.334836 -0.000560656 -0.28606 0.048216
570 0.400622 0.0311172 -0.193032 0.238708
575 0.432231 0.047493 -0.106133 0.373591
580 0.427254 0.0479332 -0.0309298 0.444257
585 0.386203 0.0337775 0.0279923 0.447973
590 0.312334 0.00787943 0.0671884 0.387401
595 0.211219 -0.0264995 0.0848867 0.269606
600 0.0903463 -0.0663703 0.0808863 0.104862
605 -0.0415778 -0.109145 0.0566418 -0.0940813
610 -0.174961 -0.152322 0.0153805 -0.311903
615 -0.30043 -0.193177 -0.037661 -0.531268
620 -0.409387 -0.229047 -0.0958002 -0.734234
625 -0.494169 -0.257318 -0.152102 -0.903589
630 -0.547886 -0.275775 -0.199982 -1.02364
635 -0.565279 -0.282616 -0.233787 -1.08168
640 -0.543689 -0.276717 -0.249236 -1.06964
645 -0.483844 -0.257523 -0.243419 -0.984786
650 -0.389761 -0.224802 -0.214779 -0.829342
655 -0.267527 -0.178587 -0.163017 -0.60913
660 -0.124634 -0.119463 -0.0892908 -0.333388
